"STATION","NAME","DATE","TAVG","TOBS"
"USC00202437","EATON RAPIDS, MI US","2012-01-03",,"17"
"USC00202437","EATON RAPIDS, MI US","2012-01-04",,"22"
"USC00202437","EATON RAPIDS, MI US","2012-01-09",,"28"
"USC00202437","EATON RAPIDS, MI US","2012-01-10",,"28"
"USC00202437","EATON RAPIDS, MI US","2012-01-11",,"28"
"USC00202437","EATON RAPIDS, MI US","2012-01-12",,"37"
"USC00202437","EATON RAPIDS, MI US","2012-01-13",,"27"
"USC00202437","EATON RAPIDS, MI US","2012-01-16",,"24"
"USC00202437","EATON RAPIDS, MI US","2012-01-17",,"39"
"USC00202437","EATON RAPIDS, MI US","2012-01-18",,"19"
"USC00202437","EATON RAPIDS, MI US","2012-01-19",,"28"
"USC00202437","EATON RAPIDS, MI US","2012-01-22",,"21"
"USC00202437","EATON RAPIDS, MI US","2012-01-23",,"45"
"USC00202437","EATON RAPIDS, MI US","2012-01-24",,"32"
"USC00202437","EATON RAPIDS, MI US","2012-01-25",,"29"
"USC00202437","EATON RAPIDS, MI US","2012-01-26",,"31"
"USC00202437","EATON RAPIDS, MI US","2012-01-27",,"34"
"USC00202437","EATON RAPIDS, MI US","2012-01-30",,"21"
"USC00202437","EATON RAPIDS, MI US","2012-01-31",,"43"
"USC00202437","EATON RAPIDS, MI US","2012-02-01",,"38"
"USC00202437","EATON RAPIDS, MI US","2012-02-02",,"35"
"USC00202437","EATON RAPIDS, MI US","2012-02-03",,"31"
"USC00202437","EATON RAPIDS, MI US","2012-02-06",,"31"
"USC00202437","EATON RAPIDS, MI US","2012-02-07",,"33"
"USC00202437","EATON RAPIDS, MI US","2012-02-08",,"21"
"USC00202437","EATON RAPIDS, MI US","2012-02-09",,"24"
"USC00202437","EATON RAPIDS, MI US","2012-02-10",,"30"
"USC00202437","EATON RAPIDS, MI US","2012-02-13",,"20"
"USC00202437","EATON RAPIDS, MI US","2012-02-15",,"33"
"USC00202437","EATON RAPIDS, MI US","2012-02-16",,"38"
"USC00202437","EATON RAPIDS, MI US","2012-02-17",,"32"
"USC00202437","EATON RAPIDS, MI US","2012-02-20",,"20"
"USC00202437","EATON RAPIDS, MI US","2012-02-21",,"33"
"USC00202437","EATON RAPIDS, MI US","2012-02-22",,"33"
"USC00202437","EATON RAPIDS, MI US","2012-02-23",,"32"
"USC00202437","EATON RAPIDS, MI US","2012-02-24",,"33"
